"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 27 13:27:36 EEST 2021","Thu May 27 13:27:37 EEST 2021","531","Surefire suite","Surefire test","RestApiTest","RestApiTest","extractingIntoObjJsonResponseUsingRestAssuredTest","extractingIntoObjJsonResponseUsingRestAssuredTest",""
"passed","Thu May 27 13:27:28 EEST 2021","Thu May 27 13:27:36 EEST 2021","7978","Surefire suite","Surefire test","RestApiTest","RestApiTest","extractingIntoObjJsonResponseUsingJacksonTest","extractingIntoObjJsonResponseUsingJacksonTest",""
